isbn,title,authors,publisher,language,genres
9780688040741,A Chair for My Mother,Vera B. Williams,Greenwillow Books,English,"['Picture Books', 'Childrens', 'Realistic Fiction', 'Family', 'Fiction', 'Cultural', 'Mathematics']"
9780767916226,A Christmas Story,Jean Shepherd,Crown,English,"['Christmas', 'Humor', 'Fiction', 'Holiday', 'Classics', 'Short Stories', 'Audiobook']"
9780679772675,A Civil Action,Jonathan Harr,Vintage,English,"['Nonfiction', 'Law', 'History', 'True Crime', 'Environment', 'Crime', 'Science']"
9780553381696,A Clash of Kings,George R.R. Martin,Bantam,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adult', 'Adventure']"
9780553381696,A Clash of Kings,George R.R. Martin,Bantam,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adult', 'Adventure']"
9780425133019,A Cold Day for Murder,Dana Stabenow,Berkley,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Contemporary', 'Suspense']"
9780765342454,A College of Magics,Caroline Stevermer,Starscape,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Romance', 'Historical', 'Young Adult Fantasy']"
9780142409404,A Company of Swans,Eva Ibbotson,Speak,English,"['Historical Fiction', 'Romance', 'Young Adult', 'Historical', 'Fiction', 'Historical Romance', 'Adult']"
9780765387462,A Conjuring of Light,V.E. Schwab,Tor,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adult', 'Romance', 'LGBT']"
9780060012786,A Cook's Tour: Global Adventures in Extreme Cuisines,Anthony Bourdain,HarperCollins ECCO,English,"['Nonfiction', 'Food', 'Travel', 'Memoir', 'Cooking', 'Biography', 'Foodie']"
9781681196312,A Court of Frost and Starlight ,Sarah J. Maas,Bloomsbury Publishing,English,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fantasy Romance', 'Audiobook']"
9781635575583,A Court of Mist and Fury,Sarah J. Maas,Bloomsbury Publishing,English,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fae', 'Fantasy Romance']"
9781681196282,A Court of Silver Flames,Sarah J. Maas,Bloomsbury Publishing,English,"['Fantasy', 'Romance', 'Fiction', 'Fantasy Romance', 'Fae', 'New Adult', 'Audiobook']"
9781619634442,A Court of Thorns and Roses,Sarah J. Maas,Bloomsbury Publishing,English,"['Fantasy', 'Romance', 'Young Adult', 'Fiction', 'New Adult', 'Fae', 'Fantasy Romance']"
9781408857908,A Court of Wings and Ruin,Sarah J. Maas,Bloomsbury Publishing,English,"['Fantasy', 'Romance', 'Young Adult', 'New Adult', 'Fiction', 'Fae', 'Fantasy Romance']"
9780812550283,A Crown of Swords ,Robert Jordan,Tor Books,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Audiobook', 'Epic']"
9780439895767,A Curse Dark as Gold,Elizabeth C. Bunce,Arthur A. Levine Books,English,"['Fantasy', 'Young Adult', 'Fairy Tales', 'Retellings', 'Historical Fiction', 'Fiction', 'Romance']"
9781250851208,A Curse for True Love,Stephanie Garber,Flatiron,English,"['Fantasy', 'Romance', 'Young Adult', 'Fantasy Romance', 'Fiction', 'Young Adult Fantasy', 'Magic']"
9781681195087,A Curse So Dark and Lonely ,Brigid Kemmerer,Bloomsbury YA,English,"['Fantasy', 'Young Adult', 'Romance', 'Retellings', 'Young Adult Fantasy', 'Fiction', 'Magic']"
9780553173895,A Dance with Dragons ,George R.R. Martin,Bantam Books (Transworld Publishers a division of the Random House Group),English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary Romance', 'Contemporary', 'Historical Fiction', 'Historical']"
9780452270640,A Dark-Adapted Eye,Barbara Vine,Plume,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Historical Fiction']"
9780765376459,A Darker Shade of Magic,V.E. Schwab,Tor,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adult', 'Audiobook', 'Adventure']"
9780586066881,A Darkness At Sethanon,Raymond E. Feist,Grafton Books,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Magic', 'Adventure']"
9780446667906,A Darkness More Than Night,Michael Connelly,Warner Books,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Mystery Thriller', 'Audiobook']"
9781452173962,A Day in the Life of Marlon Bundo,Jill Twiss,Chronicle Books LLC,English,"['Picture Books', 'Childrens', 'LGBT', 'Fiction', 'Humor', 'Animals', 'Politics']"
9781635577921,A Day of Fallen Night,Samantha    Shannon,Bloomsbury Publishing,English,"['Fantasy', 'Fiction', 'LGBT', 'Queer', 'Adult', 'Lesbian', 'Dragons']"
9780593128480,A Deadly Education,Naomi Novik,Del Rey,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Horror', 'Young Adult Fantasy', 'Urban Fantasy']"
9780812536355,A Deepness in the Sky,Vernor Vinge,Tor Science Fiction,English,"['Science Fiction', 'Fiction', 'Space Opera', 'Hugo Awards', 'Science Fiction Fantasy', 'Aliens', 'Speculative Fiction']"
9780060590277,A Dirty Job,Christopher Moore,William Morrow,English,"['Humor', 'Fiction', 'Fantasy', 'Comedy', 'Paranormal', 'Urban Fantasy', 'Horror']"
9780670022410,A Discovery of Witches,Deborah Harkness,Viking Penguin,English,"['Fantasy', 'Romance', 'Fiction', 'Paranormal', 'Vampires', 'Witches', 'Magic']"
9780765326263,A Dog's Purpose,W. Bruce Cameron,Forge Books,English,"['Fiction', 'Animals', 'Dogs', 'Contemporary', 'Fantasy', 'Adult', 'Audiobook']"
9780811214575,A Far Cry from Kensington,Muriel Spark,New Directions,English,"['Fiction', 'Historical Fiction', 'Classics', 'British Literature', 'Literary Fiction', 'Audiobook', 'Novels']"
9780140158618,A Fatal Inversion,Barbara Vine,Penguin Canada,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'British Literature']"
9780425135778,A Fatal Thaw,Dana Stabenow,Berkley,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Detective']"
9780553582024,A Feast for Crows,George R.R. Martin,Bantam Books,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adult', 'Adventure']"
9781400030651,A Fine Balance,Rohinton Mistry,Vintage,English,"['Fiction', 'Historical Fiction', 'India', 'Indian Literature', 'Literary Fiction', 'Historical', 'Canada']"
9780812515282,A Fire Upon the Deep,Vernor Vinge,Tor Science Fiction,English,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Fantasy', 'Hugo Awards', 'Space']"
9780060788193,A Fistful of Charms ,Kim Harrison,HarperTorch,English,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Witches', 'Magic', 'Fiction']"
9781250803825,A Flicker in the Dark,Stacy Willingham,Minotaur Books,English,"['Thriller', 'Mystery', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Suspense', 'Crime']"
9780373263844,A Fool and His Honey ,Charlaine Harris,Worldwide Library,English,"['Mystery', 'Fiction', 'Cozy Mystery', 'Crime', 'Mystery Thriller', 'Audiobook', 'Adult']"
9780385521727,A Fraction of the Whole,Steve Toltz,Spiegel & Grau,English,"['Fiction', 'Australia', 'Novels', 'Contemporary', 'Humor', 'Literature', 'Philosophy']"
9780553575262,A Free Man of Color ,Barbara Hambly,Bantam,English,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical', 'Historical Mystery', 'Crime', 'Mystery Thriller']"
9780553588484,A Game of Thrones ,George R.R. Martin,Bantam,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Science Fiction Fantasy', 'Adventure']"
9780375409288,A Gate at the Stairs,Lorrie Moore,Knopf,English,"['Fiction', 'Novels', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Coming Of Age', 'Adult']"
9780765376473,A Gathering of Shadows ,V.E. Schwab,Tor,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adult', 'Audiobook', 'Romance']"
9780765376473,A Gathering of Shadows ,V.E. Schwab,Tor,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adult', 'Audiobook', 'Romance']"
9780439471442,A Girl Named Disaster,Nancy Farmer,Orchard,English,"['Young Adult', 'Fiction', 'Historical Fiction', 'Africa', 'Adventure', 'Survival', 'Middle Grade']"
9781250237279,A Good Neighborhood,Therese Anne Fowler,St. Martin's Press,English,"['Fiction', 'Contemporary', 'Audiobook', 'Literary Fiction', 'Adult', 'Adult Fiction', 'Family']"
9780689875342,A Great and Terrible Beauty ,Libba Bray,Simon and Schuster,English,"['Fantasy', 'Young Adult', 'Historical Fiction', 'Fiction', 'Historical', 'Paranormal', 'Romance']"
9780553278026,A Great Deliverance ,Elizabeth  George,Bantam Books,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Detective', 'British Literature']"
9780552552646,A Hat Full of Sky ,Terry Pratchett,Corgi,English,"['Fantasy', 'Fiction', 'Young Adult', 'Humor', 'Childrens', 'Witches', 'Magic']"
9780375725784,A Heartbreaking Work of Staggering Genius,Dave Eggers,Vintage,English,"['Fiction', 'Contemporary', 'Literature', 'Humor', 'Biography Memoir', 'Novels', 'American']"
9780674399747,A History of Private Life: From Pagan Rome to Byzantium,Philippe Ariès,Belknap Press/Harvard University Press,English,"['History', 'Nonfiction', 'Ancient History', 'Anthropology', 'Reference', 'Ancient', 'Sociology']"
9780140166545,A History of Reading,Alberto Manguel,Penguin Books,English,"['Nonfiction', 'History', 'Books About Books', 'Essays', 'Literature', 'Philosophy', 'Writing']"
9780679731375,A History of the World in 10½  Chapters,Julian Barnes,Vintage,English,"['Fiction', 'Short Stories', 'Historical Fiction', 'British Literature', 'Contemporary', 'Literature', '20th Century']"
9781250829795,A House with Good Bones,T. Kingfisher,Tor Nightfire,English,"['Horror', 'Fantasy', 'Fiction', 'Gothic', 'Mystery', 'Paranormal', 'Adult']"
9780312938994,A Is for Alibi ,Sue Grafton,St. Martin's Paperbacks,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Audiobook', 'Detective']"
9780743474153,A Kingdom of Dreams ,Judith McNaught,Pocket Books,English,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Medieval', 'Fiction', 'Adult']"
9780743457262,A Knight in Shining Armor ,Jude Deveraux,Pocket Books,English,"['Romance', 'Time Travel', 'Historical Romance', 'Historical', 'Historical Fiction', 'Fantasy', 'Fiction']"
9780375702709,A Lesson Before Dying,Ernest J. Gaines,Vintage,English,"['Fiction', 'Historical Fiction', 'Classics', 'African American', 'School', 'Literature', 'Historical']"
9781484763803,A List of Cages,Robin Roe,Disney-Hyperion,English,"['Young Adult', 'Contemporary', 'Fiction', 'Mental Health', 'Realistic Fiction', 'Young Adult Contemporary', 'Abuse']"
9781484763803,A List of Cages,Robin Roe,Disney-Hyperion,English,"['Young Adult', 'Contemporary', 'Fiction', 'Mental Health', 'Realistic Fiction', 'Young Adult Contemporary', 'Abuse']"
9780440223016,A Long Fatal Love Chase,Louisa May Alcott,Dell,English,"['Classics', 'Fiction', 'Romance', 'Gothic', 'Historical Fiction', 'Literature', 'Mystery']"
9781594481932,A Long Way Down,Nick Hornby,Riverhead Books,English,"['Fiction', 'Contemporary', 'Humor', 'Novels', 'British Literature', 'Adult Fiction', 'Adult']"
9780374105235,A Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,Sarah Crichton Books,English,"['Nonfiction', 'Memoir', 'Africa', 'Biography', 'War', 'History', 'Biography Memoir']"
9781250767080,A Magic Steeped in Poison ,Judy I. Lin,Feiwel and Friends,English,"['Fantasy', 'Young Adult', 'Fiction', 'Mythology', 'Young Adult Fantasy', 'Magic', 'Romance']"
9780307264237,A Mercy,Toni Morrison,Knopf,English,"['Fiction', 'Historical Fiction', 'African American', 'Classics', 'Historical', 'Literary Fiction', 'Literature']"
9780679733768,"A Midwife's Tale: The Life of Martha Ballard, Based on Her Diary, 1785-1812",Laurel Thatcher Ulrich,Vintage Books,English,"['History', 'Nonfiction', 'Biography', 'American History', 'Historical', 'Womens', 'Feminism']"
9781595143983,A Million Suns ,Beth Revis,Razorbill,English,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Mystery']"
9780062279026,A Million Worlds with You ,Claudia Gray,HarperTeen,English,"['Young Adult', 'Science Fiction', 'Fantasy', 'Romance', 'Fiction', 'Time Travel', 'Audiobook']"
9781564782175,A Minor Apocalypse,Tadeusz Konwicki,Dalkey Archive Press,English,"['Polish Literature', 'Fiction', 'Poland', 'Classics', 'School', 'Literature', '20th Century']"
9780312983772,A Mist of Prophecies ,Steven Saylor,St. Martin's Paperbacks,English,"['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'Historical Mystery', 'Crime', 'Roman']"
9780753820292,A Morning for Flamingos ,James Lee Burke,Orion,English,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Detective', 'Mystery Thriller', 'Noir']"
9781101902769,A Mother's Reckoning: Living in the Aftermath of Tragedy,Sue Klebold,Crown,English,"['Nonfiction', 'Memoir', 'True Crime', 'Biography', 'Audiobook', 'Crime', 'Biography Memoir']"
9781101902769,A Mother's Reckoning: Living in the Aftermath of Tragedy,Sue Klebold,Crown,English,"['Nonfiction', 'Memoir', 'True Crime', 'Biography', 'Audiobook', 'Crime', 'Biography Memoir']"
9780674615762,A New History of Korea,Ki-Baik Lee,Harvard University Press,English,"['History', 'Nonfiction', 'Asia']"
9780674615762,A New History of Korea,Ki-Baik Lee,Harvard University Press,English,"['History', 'Nonfiction', 'Asia']"
9780152053109,A Northern Light,Jennifer Donnelly,HMH Books for Young Readers,English,"['Historical Fiction', 'Young Adult', 'Fiction', 'Mystery', 'Historical', 'Romance', 'Teen']"
9780385337939,A Painted House,John Grisham,Bantam,English,"['Fiction', 'Mystery', 'Historical Fiction', 'Thriller', 'Suspense', 'Novels', 'Historical']"
9780804119184,A Patchwork Planet,Anne Tyler,Ballantine Books,English,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'American', 'Adult Fiction', 'Literature']"
9780140243642,"A People's Tragedy: The Russian Revolution, 1891 - 1924",Orlando Figes,Penguin Books,English,"['History', 'Nonfiction', 'Russia', 'Russian History', 'Politics', 'European History', 'War']"
9780061957895,A Perfect Blood ,Kim Harrison,HarperVoyager,English,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Witches', 'Demons', 'Magic']"
9780743457927,A Perfect Spy,John le Carre,Scribner,English,"['Fiction', 'Espionage', 'Thriller', 'Mystery', 'Spy Thriller', 'Novels', 'Mystery Thriller']"
9780449225158,A Place Called Freedom,Ken Follett,Ballantine Books,English,"['Historical Fiction', 'Fiction', 'Historical', 'Thriller', 'Audiobook', 'Romance', 'Scotland']"
9780449225158,A Place Called Freedom,Ken Follett,Ballantine Books,English,"['Historical Fiction', 'Fiction', 'Historical', 'Thriller', 'Romance', 'Audiobook', 'Scotland']"
9781524763558,A Place for Us,Fatima Farheen Mirza,SJP for Hogarth,English,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Family', 'India', 'Adult']"
9780312426392,A Place of Greater Safety,Hilary Mantel,Picador,English,"['Historical Fiction', 'Fiction', 'France', 'Historical', 'French Revolution', 'Literary Fiction', 'Literature']"
9780553801309,A Place of Hiding ,Elizabeth  George,Bantam,English,"['Mystery', 'Fiction', 'Crime', 'Detective', 'Thriller', 'Mystery Thriller', 'British Literature']"
9780312977108,A Place Of Safety ,Caroline Graham,St. Martin's Paperbacks,English,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Cozy Mystery', 'Mystery Thriller', 'Detective']"
9780312977108,A Place Of Safety ,Caroline Graham,St. Martin's Paperbacks,English,"['Mystery', 'Fiction', 'Crime', 'British Literature', 'Cozy Mystery', 'Mystery Thriller', 'Detective']"
9780751516951,A Plague on Both Your Houses ,Susanna Gregory,"Little, Brown Book Group",English,"['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'Historical Mystery', 'Medieval', 'Crime']"
9780552135399,A Prayer for Owen Meany,John Irving,Black Swan,English,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'Historical Fiction']"
9780752877136,A Question of Blood ,Ian Rankin,Orion,English,"['Crime', 'Mystery', 'Fiction', 'Scotland', 'Detective', 'Mystery Thriller', 'Thriller']"
9780380794577,A Rake's Vow ,Stephanie Laurens,Avon,English,"['Historical Romance', 'Romance', 'Historical', 'Regency', 'Historical Fiction', 'Regency Romance', 'Fiction']"
9780380794577,A Rake's Vow ,Stephanie Laurens,Avon,English,"['Historical Romance', 'Romance', 'Historical', 'Regency', 'Historical Fiction', 'Regency Romance', 'Fiction']"
9780446400886,A Rare Benedictine ,Ellis Peters,Grand Central Pub,English,"['Mystery', 'Historical Fiction', 'Fiction', 'Historical Mystery', 'Historical', 'Crime', 'Medieval']"
9780448494500,A Reaper at the Gates ,Sabaa Tahir,Razorbill,English,"['Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Romance', 'Fiction', 'Audiobook', 'Magic']"
9780448494500,A Reaper at the Gates ,Sabaa Tahir,Razorbill,English,"['Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Romance', 'Fiction', 'Audiobook', 'Magic']"
9781565125964,A Reliable Wife,Robert Goolrick,Algonquin Books,English,"['Fiction', 'Historical Fiction', 'Historical', 'Mystery', 'Romance', 'Book Club', 'Adult']"
9780553382372,A Secret Atlas ,Michael A. Stackpole,Spectra,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Science Fiction']"
9780767908184,A Short History of Nearly Everything,Bill Bryson,Crown,English,"['Nonfiction', 'Science', 'History', 'Audiobook', 'Humor', 'Physics', 'Popular Science']"
9780141020525,A Short History of Tractors in Ukrainian,Marina Lewycka,Penguin Books,English,"['Fiction', 'Contemporary', 'Humor', 'Ukraine', 'Novels', 'Family', 'Book Club']"
9780374527075,A Small Place,Jamaica Kincaid,"Farrar, Straus and Giroux",English,"['Nonfiction', 'Essays', 'Memoir', 'History', 'School', 'Travel', 'Classics']"
9780156031134,A Soldier of the Great War,Mark Helprin,Mariner Books,English,"['Fiction', 'Historical Fiction', 'War', 'Italy', 'World War I', 'Historical', 'Literature']"
9780810112025,A Soldier's Legacy,Heinrich Böll,Northwestern University Press,English,"['Fiction', 'German Literature', 'War', 'Germany', 'Novels', 'Historical Fiction', 'World War II']"
9780345915627,A Son of the Circus,John Irving,Ballantine Books,English,"['Fiction', 'India', 'Literary Fiction', 'Contemporary', 'Literature', 'Novels', 'American']"
9781957568461,A Soul of Ash and Blood ,Jennifer L. Armentrout,Blue Box Press,English,"['Fantasy', 'Romance', 'Fantasy Romance', 'Vampires', 'Fiction', 'Adult', 'Paranormal']"
9781957568461,A Soul of Ash and Blood ,Jennifer L. Armentrout,Blue Box Press,English,"['Fantasy', 'Romance', 'Fantasy Romance', 'Vampires', 'Fiction', 'Adult', 'Paranormal']"
9780553573428,A Storm of Swords ,George R.R. Martin,Bantam,English,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adult', 'Audiobook']"
9780062398901,A Study in Charlotte ,Brittany Cavallaro,Katherine Tegen Books,English,"['Mystery', 'Young Adult', 'Contemporary', 'Fiction', 'Retellings', 'Mystery Thriller', 'Romance']"
9780063211506,A Study in Drowning,Ava Reid,HarperTeen,English,"['Fantasy', 'Young Adult', 'Romance', 'Gothic', 'Mystery', 'Fiction', 'Young Adult Fantasy']"
9780060786526,A Suitable Boy ,Vikram Seth,Harper Perennial Modern Classics,English,"['Fiction', 'India', 'Historical Fiction', 'Classics', 'Indian Literature', 'Romance', 'Historical']"
9780553384826,A Suitable Vengeance ,Elizabeth  George,Bantam,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Detective', 'Thriller', 'British Literature']"
9780316925280,A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,Back Bay Books,English,"['Nonfiction', 'Essays', 'Humor', 'Short Stories', 'Memoir', 'American', 'Philosophy']"
9781400096473,A Taste for Death ,P.D. James,Vintage,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Detective', 'British Literature', 'Thriller']"
9780061000041,A Thief of Time ,Tony Hillerman,HarperTorch,English,"['Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Westerns', 'Detective', 'Thriller']"
9781400033836,A Thousand Acres,Jane Smiley,Anchor,English,"['Fiction', 'Literary Fiction', 'Contemporary', 'Novels', 'Literature', 'Family', 'Adult Fiction']"
9781594489501,A Thousand Splendid Suns,Khaled Hosseini,Riverhead Books,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Historical', 'Novels', 'Classics', 'War']"
9780671493172,A to Z,Sandra Boynton,Boynton Bookworks,English,"['Childrens', 'Picture Books', 'Animals', 'Fiction', 'Humor', 'Kids', 'Education']"
9780008250447,A Torch Against the Night ,Sabaa Tahir,Razorbill,English,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Fiction', 'Audiobook', 'High Fantasy']"
9780553582369,A Traitor to Memory ,Elizabeth  George,Bantam,English,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Thriller', 'Detective', 'British Literature']"
9780307592835,A Visit from the Goon Squad,Jennifer Egan,Knopf,English,"['Fiction', 'Contemporary', 'Music', 'Short Stories', 'Literary Fiction', 'Novels', 'Adult Fiction']"
9780152938222,A Visit to William Blake's Inn: Poems for Innocent and Experienced Travelers,Nancy Willard,Harcourt Brace Jovanovich,English,"['Poetry', 'Picture Books', 'Childrens', 'Fantasy', 'Juvenile', 'Young Adult', 'Middle Grade']"
9780307279460,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,Anchor,English,"['Nonfiction', 'Travel', 'Memoir', 'Humor', 'Nature', 'Adventure', 'Audiobook']"
9780307279460,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,Anchor,English,"['Nonfiction', 'Travel', 'Memoir', 'Humor', 'Nature', 'Adventure', 'Audiobook']"
9780307279460,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,Anchor,English,"['Nonfiction', 'Travel', 'Memoir', 'Humor', 'Nature', 'Adventure', 'Audiobook']"
9780446693806,A Walk to Remember,Nicholas Sparks,Grand Central Publishing,English,"['Romance', 'Fiction', 'Contemporary', 'Young Adult', 'Chick Lit', 'Adult', 'Contemporary Romance']"
9780739320914,A Widow for One Year,John Irving,Random House Audio,English,"['Fiction', 'Contemporary', 'Literature', 'Literary Fiction', 'Novels', 'American', 'Adult']"
9780393000726,"A Wild Patience Has Taken Me This Far: Poems, 1978-1981",Adrienne Rich,W.W. Norton,English,"['Poetry', 'Feminism', 'LGBT', 'Queer', 'Nonfiction', 'Womens', 'Classics']"
9780062699763,A Woman Is No Man,Etaf Rum,Harper,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Audiobook', 'Feminism', 'Literary Fiction', 'Adult']"
9780316545563,A World Lit Only by Fire: The Medieval Mind and the Renaissance: Portrait of an Age,William Manchester,"Little, Brown and Company",English,"['History', 'Nonfiction', 'Medieval', 'European History', 'Medieval History', 'Historical', 'World History']"
9780142300701,A Year Down Yonder ,Richard Peck,Dial Books,English,"['Historical Fiction', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Humor', 'Historical']"
9780679731146,A Year in Provence,Peter Mayle,Vintage,English,"['Travel', 'Nonfiction', 'Memoir', 'France', 'Biography', 'Food', 'Humor']"
9780060088743,A Year in the Life of William Shakespeare: 1599,James Shapiro,Harper Perennial,English,"['History', 'Nonfiction', 'Biography', 'Theatre', 'Literary Criticism', 'British Literature', 'Literature']"
9780545284103,Abandon ,Meg Cabot,Point,English,"['Young Adult', 'Fantasy', 'Mythology', 'Romance', 'Paranormal', 'Fiction', 'Paranormal Romance']"
9780140285673,About a Boy,Nick Hornby,Penguin Books,English,"['Fiction', 'Contemporary', 'Humor', 'Novels', 'British Literature', 'Comedy', 'Adult']"
9780446519960,Absolute Power,David Baldacci,Warner Books,English,"['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Crime', 'Mystery Thriller', 'Audiobook']"
9781400076932,Absolutely American: Four Years at West Point,David Lipsky,Vintage,English,"['Nonfiction', 'Military Fiction', 'History', 'Memoir', 'Military History', 'Education', 'American History']"
9780312362157,Acheron ,Sherrilyn Kenyon,St. Martin's Press,English,"['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Mythology']"
9780061059834,Acorna's People ,Anne McCaffrey,HarperCollins Publishers,English,"['Fantasy', 'Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Space', 'Space Opera', 'Adult']"
